"point_4326";"point_4326";"posicao"
"POINT(-43.5563367 -22.9016414)";"POINT(-4848669.22226437 -2620128.1546087)";1
"POINT(-43.5562957 -22.901632)";"POINT(-4848664.65816525 -2620127.01866382)";2
"POINT(-43.5529059 -22.901002)";"POINT(-4848287.30735536 -2620050.88636759)";3
"POINT(-43.5528582 -22.9009923)";"POINT(-4848281.99741565 -2620049.71417469)";4
"POINT(-43.5502767 -22.9023302)";"POINT(-4847994.62615017 -2620211.39299637)";5
"POINT(-43.5502586 -22.9023982)";"POINT(-4847992.61126738 -2620219.61051401)";6
"POINT(-43.5502539 -22.9022524)";"POINT(-4847992.08806578 -2620201.99119447)";7
"POINT(-43.5502029 -22.9024569)";"POINT(-4847986.41077175 -2620226.70416859)";8
"POINT(-43.5501903 -22.9020883)";"POINT(-4847985.00814616 -2620182.1604192)";9
"POINT(-43.5501737 -22.900447)";"POINT(-4847983.16024261 -2619983.81773295)";10
"POINT(-43.5501164 -22.9024773)";"POINT(-4847976.78163579 -2620229.16942575)";11
"POINT(-43.550053 -22.9017166)";"POINT(-4847969.72398008 -2620137.24217053)";12
"POINT(-43.5500106 -22.9016004)";"POINT(-4847965.00403367 -2620123.19995609)";13
"POINT(-43.5499869 -22.9004857)";"POINT(-4847962.36576174 -2619988.49440182)";14
"POINT(-43.5497751 -22.9024476)";"POINT(-4847938.78829358 -2620225.58030147)";15
"POINT(-43.549716 -22.9007696)";"POINT(-4847932.20931168 -2620022.80209872)";16
"POINT(-43.5496839 -22.9006651)";"POINT(-4847928.63595603 -2620010.17386097)";17
"POINT(-43.5495843 -22.9024084)";"POINT(-4847917.54853474 -2620220.84314201)";18
"POINT(-43.5495406 -22.9023994)";"POINT(-4847912.68387299 -2620219.75552906)";19
"POINT(-43.549445 -22.9023798)";"POINT(-4847902.04172967 -2620217.38695001)";20
"POINT(-43.549012 -22.9023062)";"POINT(-4847853.84039016 -2620208.492697)";21
"POINT(-43.5482279 -22.9021309)";"POINT(-4847766.55477743 -2620187.30844265)";22
"POINT(-43.5475461 -22.902013)";"POINT(-4847690.65714861 -2620173.0607479)";23
"POINT(-43.5462617 -22.9017984)";"POINT(-4847547.67839463 -2620147.12731666)";24
"POINT(-43.5455554 -22.9016449)";"POINT(-4847469.05343828 -2620128.57756692)";25
"POINT(-43.5446965 -22.9013565)";"POINT(-4847373.44112764 -2620093.72584633)";26
"POINT(-43.544292 -22.901137)";"POINT(-4847328.41239362 -2620067.2004013)";27
"POINT(-43.5439658 -22.9009717)";"POINT(-4847292.09997572 -2620047.22477559)";28
"POINT(-43.5437594 -22.9008219)";"POINT(-4847269.12363282 -2620029.12226346)";29
"POINT(-43.543549 -22.9006618)";"POINT(-4847245.70201196 -2620009.77507467)";30
"POINT(-43.5433326 -22.9004708)";"POINT(-4847221.61247415 -2619986.69382372)";31
"POINT(-43.5418857 -22.8991988)";"POINT(-4847060.54430292 -2619832.98077207)";32
"POINT(-43.5406843 -22.8981176)";"POINT(-4846926.80506668 -2619702.32581149)";33
"POINT(-43.5394431 -22.8970325)";"POINT(-4846788.63531471 -2619571.20061201)";34
"POINT(-43.5376021 -22.895404)";"POINT(-4846583.69613216 -2619374.41206564)";35
"POINT(-43.5368732 -22.8947601)";"POINT(-4846502.55535532 -2619296.60360154)";36
"POINT(-43.5363641 -22.8943116)";"POINT(-4846445.88260256 -2619242.40736662)";37
"POINT(-43.5362864 -22.8942439)";"POINT(-4846437.23307812 -2619234.22659042)";38
"POINT(-43.5361428 -22.8941764)";"POINT(-4846421.24759924 -2619226.06998602)";39
"POINT(-43.5359823 -22.8941504)";"POINT(-4846403.38082097 -2619222.92818393)";40
"POINT(-43.5358124 -22.8941656)";"POINT(-4846384.46763949 -2619224.76492969)";41
"POINT(-43.5346811 -22.8942889)";"POINT(-4846258.53189955 -2619239.66432895)";42
"POINT(-43.5344566 -22.8942794)";"POINT(-4846233.54067387 -2619238.51636177)";43
"POINT(-43.5343156 -22.8942583)";"POINT(-4846217.84462567 -2619235.96666655)";44
"POINT(-43.5341293 -22.8941754)";"POINT(-4846197.10580453 -2619225.94914747)";45
"POINT(-43.5339027 -22.8940087)";"POINT(-4846171.88080792 -2619205.80537309)";46
"POINT(-43.5337631 -22.8938371)";"POINT(-4846156.340607 -2619185.06951602)";47
"POINT(-43.5333691 -22.8933765)";"POINT(-4846112.48072763 -2619129.41151185)";48
"POINT(-43.5331646 -22.8931462)";"POINT(-4846089.71589176 -2619101.58258062)";49
"POINT(-43.5329684 -22.8930084)";"POINT(-4846067.87500767 -2619084.93116281)";50
"POINT(-43.5327994 -22.8929091)";"POINT(-4846049.06201373 -2619072.93200212)";51
"POINT(-43.5322537 -22.8926683)";"POINT(-4845988.3149676 -2619043.83437599)";52
"POINT(-43.5320134 -22.8925998)";"POINT(-4845961.56489396 -2619035.55702915)";53
"POINT(-43.531731 -22.892556)";"POINT(-4845930.12826976 -2619030.26436286)";54
"POINT(-43.5313452 -22.8925552)";"POINT(-4845887.18121021 -2619030.16769317)";55
"POINT(-43.5310918 -22.8925732)";"POINT(-4845858.97285124 -2619032.34276129)";56
"POINT(-43.5305412 -22.8926538)";"POINT(-4845797.68033962 -2619042.08223653)";57
"POINT(-43.5301674 -22.8926739)";"POINT(-4845756.06911396 -2619044.51106438)";58
"POINT(-43.5297531 -22.8926202)";"POINT(-4845709.94944892 -2619038.02210719)";59
"POINT(-43.5292734 -22.8924499)";"POINT(-4845656.54948919 -2619017.44355044)";60
"POINT(-43.5289589 -22.8922884)";"POINT(-4845621.53950933 -2618997.92838396)";61
"POINT(-43.5285309 -22.8920498)";"POINT(-4845573.89476728 -2618969.09673158)";62
"POINT(-43.5268404 -22.8908704)";"POINT(-4845385.70916809 -2618826.58259439)";63
"POINT(-43.5265318 -22.8907027)";"POINT(-4845351.35597323 -2618806.31847519)";64
"POINT(-43.5261832 -22.890595)";"POINT(-4845312.54999874 -2618793.3045013)";65
"POINT(-43.5256087 -22.8904494)";"POINT(-4845248.59695128 -2618775.71088169)";66
"POINT(-43.5250728 -22.8903042)";"POINT(-4845188.94083616 -2618758.16561501)";67
"POINT(-43.5248078 -22.8902181)";"POINT(-4845159.4411711 -2618747.76171574)";68
"POINT(-43.52469 -22.8901727)";"POINT(-4845146.32773509 -2618742.27580636)";69
"POINT(-43.5245083 -22.8901103)";"POINT(-4845126.10098361 -2618734.73570483)";70
"POINT(-43.5242415 -22.8900186)";"POINT(-4845096.40094347 -2618723.65514524)";71
"POINT(-43.5241836 -22.8899987)";"POINT(-4845089.95554495 -2618721.25053188)";72
"POINT(-43.5237888 -22.8898089)";"POINT(-4845046.00660998 -2618698.31609656)";73
"POINT(-43.5235273 -22.8896778)";"POINT(-4845016.89656314 -2618682.47467972)";74
"POINT(-43.5231752 -22.8894194)";"POINT(-4844977.70097043 -2618651.25106235)";75
"POINT(-43.5228301 -22.8891953)";"POINT(-4844939.28461416 -2618624.17211416)";76
"POINT(-43.5226567 -22.8890689)";"POINT(-4844919.98181446 -2618608.89868876)";77
"POINT(-43.5220677 -22.8886881)";"POINT(-4844854.41463438 -2618562.88516406)";78
"POINT(-43.5219484 -22.8886018)";"POINT(-4844841.13421913 -2618552.45722196)";79
"POINT(-43.5217414 -22.8884437)";"POINT(-4844818.09108453 -2618533.35344259)";80
"POINT(-43.5215164 -22.8882014)";"POINT(-4844793.0441991 -2618504.07552409)";81
"POINT(-43.5212225 -22.8877451)";"POINT(-4844760.32740076 -2618448.93941255)";82
"POINT(-43.5210422 -22.8873181)";"POINT(-4844740.25649657 -2618397.34387668)";83
"POINT(-43.5208534 -22.8869544)";"POINT(-4844719.23937671 -2618353.39717473)";84
"POINT(-43.5206419 -22.8866007)";"POINT(-4844695.6953044 -2618310.65890858)";85
"POINT(-43.5205272 -22.8864088)";"POINT(-4844682.92695881 -2618287.47130103)";86
"POINT(-43.5202955 -22.8860134)";"POINT(-4844657.13423279 -2618239.69454132)";87
"POINT(-43.5200552 -22.8855864)";"POINT(-4844630.38415916 -2618188.09966374)";88
"POINT(-43.5199542 -22.8853859)";"POINT(-4844619.14089059 -2618163.87308519)";89
"POINT(-43.5197863 -22.885173)";"POINT(-4844600.45034808 -2618138.1482437)";90
"POINT(-43.5197237 -22.885119)";"POINT(-4844593.48174796 -2618131.623396)";91
"POINT(-43.5196153 -22.8850254)";"POINT(-4844581.41471516 -2618120.31366614)";92
"POINT(-43.5193981 -22.8848764)";"POINT(-4844557.23612176 -2618102.3099456)";93
"POINT(-43.5192205 -22.8847945)";"POINT(-4844537.46578019 -2618092.41394923)";94
"POINT(-43.5175104 -22.884243)";"POINT(-4844347.09831899 -2618025.77622929)";95
"POINT(-43.5172034 -22.8841101)";"POINT(-4844312.92323531 -2618009.71796881)";96
"POINT(-43.5170082 -22.8839812)";"POINT(-4844291.19367071 -2617994.14304195)";97
"POINT(-43.5167936 -22.8837756)";"POINT(-4844267.30450799 -2617969.30052048)";98
"POINT(-43.5166464 -22.8836007)";"POINT(-4844250.91827894 -2617948.16749074)";99
"POINT(-43.5165189 -22.8833723)";"POINT(-4844236.72504386 -2617920.57013898)";100
"POINT(-43.5163473 -22.883143)";"POINT(-4844217.62261924 -2617892.8640878)";101
"POINT(-43.5161413 -22.8829532)";"POINT(-4844194.69080414 -2617869.93081088)";102
"POINT(-43.5158801 -22.8828048)";"POINT(-4844165.61415314 -2617851.99986222)";103
"POINT(-43.5155868 -22.8826847)";"POINT(-4844132.9641465 -2617837.48837433)";104
"POINT(-43.5152868 -22.8825782)";"POINT(-4844099.56829926 -2617824.62016308)";105
"POINT(-43.5146365 -22.8823835)";"POINT(-4844027.1772344 -2617801.0949241)";106
"POINT(-43.5133432 -22.8820107)";"POINT(-4843883.20773695 -2617756.05028742)";107
"POINT(-43.5129753 -22.8818852)";"POINT(-4843842.25329629 -2617740.8864153)";108
"POINT(-43.512772 -22.8817878)";"POINT(-4843819.62204381 -2617729.11781026)";109
"POINT(-43.5125953 -22.8816593)";"POINT(-4843799.95188979 -2617713.59148081)";110
"POINT(-43.5125017 -22.8815912)";"POINT(-4843789.53238545 -2617705.36313629)";111
"POINT(-43.5121927 -22.8813889)";"POINT(-4843755.13466279 -2617680.91978184)";112
"POINT(-43.5119386 -22.8812522)";"POINT(-4843726.84838019 -2617664.40271619)";113
"POINT(-43.5115251 -22.8811089)";"POINT(-4843680.81777074 -2617647.08820948)";114
"POINT(-43.511162 -22.8810088)";"POINT(-4843640.39766364 -2617634.99343929)";115
"POINT(-43.5108853 -22.8809594)";"POINT(-4843609.59556053 -2617629.02459495)";116
"POINT(-43.5107569 -22.8809497)";"POINT(-4843595.30213792 -2617627.85257516)";117
"POINT(-43.5103906 -22.880921)";"POINT(-4843554.52580844 -2617624.384847)";118
"POINT(-43.5096132 -22.8808653)";"POINT(-4843467.9860363 -2617617.65479828)";119
"POINT(-43.509503 -22.8808604)";"POINT(-4843455.71862841 -2617617.06274744)";120
"POINT(-43.5090337 -22.8808518)";"POINT(-4843403.47639138 -2617616.02363787)";121
"POINT(-43.5087803 -22.8807959)";"POINT(-4843375.26803241 -2617609.26942725)";122
"POINT(-43.508468 -22.88066)";"POINT(-4843340.50295544 -2617592.84909496)";123
"POINT(-43.5082191 -22.8805098)";"POINT(-4843312.79553418 -2617574.70096168)";124
"POINT(-43.5078329 -22.8802725)";"POINT(-4843269.80394684 -2617546.02888525)";125
"POINT(-43.5074845 -22.880062)";"POINT(-4843231.02023624 -2617520.59499509)";126
"POINT(-43.5073093 -22.8799562)";"POINT(-4843211.51706146 -2617507.81161056)";127
"POINT(-43.5069574 -22.879806)";"POINT(-4843172.34373264 -2617489.66357136)";128
"POINT(-43.5064979 -22.8796488)";"POINT(-4843121.19242662 -2617470.66977288)";129
"POINT(-43.5063561 -22.8795775)";"POINT(-4843105.40732283 -2617462.05490843)";130
"POINT(-43.5062021 -22.8795371)";"POINT(-4843088.26412125 -2617457.17355666)";131
"POINT(-43.5059348 -22.8794403)";"POINT(-4843058.50842136 -2617445.47765042)";132
"POINT(-43.5057134 -22.8793714)";"POINT(-4843033.8622861 -2617437.15278009)";133
"POINT(-43.5055802 -22.8793423)";"POINT(-4843019.03452992 -2617433.63676211)";134
"POINT(-43.5055111 -22.8793386)";"POINT(-4843011.34235311 -2617433.18970833)";135
"POINT(-43.5053444 -22.8793367)";"POINT(-4842992.785394 -2617432.96014018)";136
"POINT(-43.505133 -22.8793423)";"POINT(-4842969.25245364 -2617433.63676211)";137
"POINT(-43.5046177 -22.8794491)";"POINT(-4842911.88952004 -2617446.54091428)";138
"POINT(-43.5042671 -22.8795203)";"POINT(-4842872.86090656 -2617455.14368804)";139
"POINT(-43.5040242 -22.8795615)";"POINT(-4842845.82140225 -2617460.12169963)";140
"POINT(-43.5036958 -22.8795846)";"POINT(-4842809.26408147 -2617462.9127699)";141
"POINT(-43.5035157 -22.8795614)";"POINT(-4842789.21544118 -2617460.10961708)";142
"POINT(-43.5033268 -22.8795371)";"POINT(-4842768.18718937 -2617457.17355666)";143
"POINT(-43.5029834 -22.8794818)";"POINT(-4842729.96007623 -2617450.49190672)";144
"POINT(-43.5026897 -22.8794993)";"POINT(-4842697.26554179 -2617452.60635261)";145
"POINT(-43.5025677 -22.879533)";"POINT(-4842683.68456391 -2617456.67817203)";146
"POINT(-43.5023655 -22.8796162)";"POINT(-4842661.17576287 -2617466.73085814)";147
"POINT(-43.5020479 -22.8797981)";"POINT(-4842625.8206926 -2617488.70904789)";148
"POINT(-43.5017271 -22.8799496)";"POINT(-4842590.10939995 -2617507.01415968)";149
"POINT(-43.5016507 -22.8799914)";"POINT(-4842581.60459085 -2617512.06468257)";150
"POINT(-43.5015512 -22.8800655)";"POINT(-4842570.52830152 -2617521.01788606)";151
"POINT(-43.5012497 -22.8803358)";"POINT(-4842536.96547505 -2617553.67718393)";152
"POINT(-43.5009321 -22.8806205)";"POINT(-4842501.61040477 -2617588.07644811)";153
"POINT(-43.5003141 -22.8812056)";"POINT(-4842432.81495946 -2617658.77217676)";154
"POINT(-43.5001516 -22.8813206)";"POINT(-4842414.7255422 -2617672.66728829)";155
"POINT(-43.4998922 -22.8814531)";"POINT(-4842385.84926629 -2617688.67688791)";156
"POINT(-43.4996306 -22.8815316)";"POINT(-4842356.7280875 -2617698.16182788)";157
"POINT(-43.4994459 -22.8815382)";"POINT(-4842336.16737755 -2617698.95928805)";158
"POINT(-43.4992412 -22.8815299)";"POINT(-4842313.38027779 -2617697.95642148)";159
"POINT(-43.4987839 -22.8814791)";"POINT(-4842262.47387465 -2617691.81839608)";160
"POINT(-43.4986001 -22.8814636)";"POINT(-4842242.01335224 -2617689.94557383)";161
"POINT(-43.4985563 -22.8814641)";"POINT(-4842237.13755854 -2617690.00598745)";162
"POINT(-43.4983332 -22.8814667)";"POINT(-4842212.30218014 -2617690.32013826)";163
"POINT(-43.4982084 -22.8814764)";"POINT(-4842198.40950769 -2617691.49216251)";164
"POINT(-43.4980886 -22.8814857)";"POINT(-4842185.0734327 -2617692.61585594)";165
"POINT(-43.4978336 -22.881514)";"POINT(-4842156.68696254 -2617696.03526761)";166
"POINT(-43.4974098 -22.8816595)";"POINT(-4842109.50976235 -2617713.61564629)";167
"POINT(-43.4972319 -22.8817264)";"POINT(-4842089.70602493 -2617721.69900198)";168
"POINT(-43.4966585 -22.8819795)";"POINT(-4842025.87542891 -2617752.28046293)";169
"POINT(-43.4963988 -22.8820984)";"POINT(-4841996.96575716 -2617766.64688208)";170
